0 %, 0 %, 5 MiB
0 %, 0 %, 5 MiB
0 %, 0 %, 5 MiB
0 %, 0 %, 5 MiB
0 %, 0 %, 5 MiB
0 %, 0 %, 5 MiB
0 %, 0 %, 20 MiB
0 %, 0 %, 552 MiB
3 %, 0 %, 552 MiB
99 %, 45 %, 584 MiB
99 %, 44 %, 584 MiB
99 %, 44 %, 584 MiB
99 %, 44 %, 648 MiB
99 %, 44 %, 648 MiB
99 %, 44 %, 648 MiB
99 %, 44 %, 648 MiB
99 %, 43 %, 648 MiB
99 %, 43 %, 616 MiB
99 %, 43 %, 616 MiB
