companies,indicators,ciphertexts,encrypt_ms,encrypt_ct_per_s,peak_rss_mb,encrypted_mb,ok
10,6,60,324.8,184.7,319.3,0.2,true
50,6,300,1512.2,198.4,319.3,0.8,true
