stage,wall_ms,cpu_ms,cpu_pct,rss_cur_mb,rss_hwm_mb,note
T0_密钥生成_含服务端密钥压缩,2579.4,8960.0,347.4,123.8,319.3,generate_keys + CompressedServerKey::new + decompress/set
T1_企业数据加密,638.6,640.0,100.2,124.0,319.3,20 家企业 × 6 项指标 = 120 条密文
T2a_单企业多指标同态聚合,76617.6,458800.0,598.8,129.1,319.3,每家企业 5 次同态加法，共 100 次
T2b_全池跨企业同态求和,79500.3,509760.0,641.2,129.1,319.3,6 项指标 × 19 次加法 = 114 次同态加法
T2c_综合风险分跨企业求和,15868.0,106130.0,668.8,130.0,319.3,19 次同态加法
T3_结果解密,1437.9,8290.0,576.5,130.0,319.3,解压 + 解密每项聚合结果
T4_ZKP生成与验证,806175.0,0.0,0.0,130.0,319.3,ZK 解密正确性证明流程（含 guest 执行），exit=0
